;temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3)
311;33915.0;6.699441247602369;431818.9452943618;-0.003514977169798967
312;33915.0;6.7494370778083566;442366.98061872914;-0.0035590992956011317
313;33915.0;6.799432908014345;453105.82756009174;-0.003604111447969494
314;33915.0;6.8494287382203325;464037.7804725686;-0.0036500296313638735
315;33915.0;6.899424568426319;475165.14770241064;-0.003696870041557878
316;33915.0;6.9494203986323075;486490.2515880008;-0.003744649066798559
317;33915.0;6.999416228838296;498015.4284598525;-0.0037933832889660685
318;33915.0;7.0;498151.19200000004;-0.0038421287631011415
319;33915.0;7.0;498151.19200000004;-0.0038908742372362145
320;33915.0;7.0;498151.19200000004;-0.0039396197113712875
321;33915.0;7.0;498151.19200000004;-0.003988365185506361
322;33915.0;7.0;498151.19200000004;-0.004037110659641434
323;33915.0;7.0;498151.19200000004;-0.004085856133776508
324;33915.0;7.0;498151.19200000004;-0.004134601607911581
325;33915.0;7.0;498151.19200000004;-0.004183347082046655
326;33915.0;7.0;498151.19200000004;-0.004232092556181728
327;33915.0;7.0;498151.19200000004;-0.0042808380303168015
328;33915.0;7.0;498151.19200000004;-0.004329583504451875
329;33915.0;7.0;498151.19200000004;-0.004378328978586948
330;33915.0;7.0;498151.19200000004;-0.004427074452722022
331;33915.0;7.0;498151.19200000004;-0.004475819926857095
332;33915.0;7.0;498151.19200000004;-0.004524565400992169
333;33915.0;7.0;498151.19200000004;-0.004573310875127242
334;33915.0;7.0;498151.19200000004;-0.0046220563492623155
335;33915.0;7.0;498151.19200000004;-0.004670801823397389
336;33915.0;7.0;498151.19200000004;-0.004719547297532462
337;33915.0;7.0;498151.19200000004;-0.004768292771667536
338;33915.0;7.0;498151.19200000004;-0.004817038245802609
339;33915.0;7.0;498151.19200000004;-0.004865783719937683
340;33915.0;7.0;498151.19200000004;-0.004914529194072756
341;33915.0;7.0;498151.19200000004;-0.0049632746682078295
342;33915.0;7.0;498151.19200000004;-0.005012020142342903
343;33915.0;7.0;498151.19200000004;-0.005060765616477976
344;33915.0;7.0;498151.19200000004;-0.00510951109061305
345;33915.0;7.0;498151.19200000004;-0.005158256564748123
346;33915.0;7.0;498151.19200000004;-0.005207002038883197
347;33915.0;7.0;498151.19200000004;-0.00525574751301827
348;33915.0;7.0;498151.19200000004;-0.0053044929871533435
349;33915.0;7.0;498151.19200000004;-0.005353238461288417
350;33915.0;7.0;498151.19200000004;-0.00540198393542349
351;33915.0;7.0;498151.19200000004;-0.005450729409558564
352;33915.0;7.0;498151.19200000004;-0.005499474883693637
353;33915.0;7.0;498151.19200000004;-0.005548220357828711
354;33915.0;7.0;498151.19200000004;-0.005596965831963784
355;33915.0;7.0;498151.19200000004;-0.0056457113060988575
356;33915.0;7.0;498151.19200000004;-0.005694456780233931
357;33915.0;7.0;498151.19200000004;-0.005743202254369004
358;33915.0;7.0;498151.19200000004;-0.005791947728504078
359;33915.0;7.0;498151.19200000004;-0.005840693202639151
360;33915.0;7.0;498151.19200000004;-0.005889438676774225
361;33915.0;7.0;498151.19200000004;-0.005938184150909298
362;33915.0;7.0;498151.19200000004;-0.0059869296250443715
363;33915.0;7.0;498151.19200000004;-0.006035675099179445
364;33915.0;7.0;498151.19200000004;-0.006084420573314518
365;33915.0;7.0;498151.19200000004;-0.006133166047449592
366;33915.0;7.0;498151.19200000004;-0.006181911521584665
367;33915.0;7.0;498151.19200000004;-0.006230656995719739
368;33915.0;7.0;498151.19200000004;-0.006279402469854812
369;33915.0;7.0;498151.19200000004;-0.0063281479439898855
