time_s;profile_speed_m_per_s;converter_motor_out_W;storage_fuel_tank_v_stock_l
17855.0;7.0;498151.19200000004;305.0891031979493
17856.0;7.0;498151.19200000004;305.0410994075686
17857.0;7.0;498151.19200000004;304.9930956171879
17858.0;7.0;498151.19200000004;304.94509182680713
17859.0;7.0;498151.19200000004;304.89708803642634
17860.0;7.0;498151.19200000004;304.84908424604566
17861.0;7.0;498151.19200000004;304.8010804556649
17862.0;7.0;498151.19200000004;304.7530766652842
17863.0;7.0;498151.19200000004;304.70507287490346
17864.0;7.0;498151.19200000004;304.6570690845227
17865.0;7.0;498151.19200000004;304.60906529414194
17866.0;7.0;498151.19200000004;304.5610615037612
17867.0;7.0;498151.19200000004;304.5130577133804
17868.0;7.0;498151.19200000004;304.46505392299974
17869.0;7.0;498151.19200000004;304.417050132619
17870.0;7.0;498151.19200000004;304.3690463422382
17871.0;7.0;498151.19200000004;304.3210425518575
17872.0;7.0;498151.19200000004;304.27303876147676
17873.0;7.0;498151.19200000004;304.225034971096
17874.0;7.0;498151.19200000004;304.1770311807153
17875.0;7.0;498151.19200000004;304.12902739033456
17876.0;7.0;498151.19200000004;304.08102359995377
17877.0;7.0;498151.19200000004;304.03301980957303
17878.0;7.0;498151.19200000004;303.9850160191923
17879.0;7.0;498151.19200000004;303.93701222881157
17880.0;7.0;498151.19200000004;303.88900843843084
17881.0;7.0;498151.19200000004;303.8410046480501
17882.0;7.0;498151.19200000004;303.79300085766937
17883.0;7.0;498151.19200000004;303.7449970672886
17884.0;7.0;498151.19200000004;303.69699327690785
17885.0;7.0;498151.19200000004;303.6489894865271
17886.0;7.0;498151.19200000004;303.6009856961464
17887.0;7.0;498151.19200000004;303.5529819057657
17888.0;7.0;498151.19200000004;303.5049781153849
17889.0;7.0;498151.19200000004;303.4569743250042
17890.0;7.0;498151.19200000004;303.4089705346234
17891.0;7.0;498151.19200000004;303.36096674424266
17892.0;7.0;498151.19200000004;303.3129629538619
17893.0;7.0;498151.19200000004;303.26495916348125
17894.0;7.0;498151.19200000004;303.21695537310046
17895.0;7.0;498151.19200000004;303.1689515827197
17896.0;7.0;498151.19200000004;303.120947792339
17897.0;7.0;498151.19200000004;303.07294400195826
17898.0;7.0;498151.19200000004;303.0249402115775
17899.0;7.0;498151.19200000004;302.9769364211968
17900.0;7.0;498151.19200000004;302.928932630816
17901.0;7.0;498151.19200000004;302.8809288404353
17902.0;7.0;498151.19200000004;302.83292505005454
17903.0;7.0;498151.19200000004;302.7849212596738
17904.0;7.0;498151.19200000004;302.7369174692931
17905.0;7.0;498151.19200000004;302.68891367891234
17906.0;7.0;498151.19200000004;302.6409098885316
17907.0;7.0;498151.19200000004;302.5929060981508
17908.0;7.0;498151.19200000004;302.5449023077701
17909.0;7.0;498151.19200000004;302.49689851738935
17910.0;7.0;498151.19200000004;302.4488947270086
17911.0;7.0;498151.19200000004;302.40089093662795
17912.0;7.0;498151.19200000004;302.35288714624716
17913.0;7.0;498151.19200000004;302.3048833558664
17914.0;7.0;498151.19200000004;302.25687956548563
17915.0;7.0;498151.19200000004;302.2088757751049
17916.0;7.0;498151.19200000004;302.16087198472417
17917.0;7.0;498151.19200000004;302.1128681943435
17918.0;7.0;498151.19200000004;302.0648644039627
17919.0;7.0;498151.19200000004;302.01686061358197
17920.0;7.0;498151.19200000004;301.96885682320124
17921.0;7.0;498151.19200000004;301.92085303282045
17922.0;7.0;498151.19200000004;301.8728492424397
17923.0;7.0;498151.19200000004;301.82484545205904
17924.0;7.0;498151.19200000004;301.77684166167825
17925.0;7.0;498151.19200000004;301.7288378712975
17926.0;7.0;498151.19200000004;301.6808340809168
17927.0;7.0;498151.19200000004;301.63283029053605
17928.0;7.0;498151.19200000004;301.58482650015526
17929.0;7.0;498151.19200000004;301.5368227097746
17930.0;7.0;498151.19200000004;301.48881891939385
17931.0;7.0;498151.19200000004;301.44081512901306
17932.0;7.0;498151.19200000004;301.3928113386323
17933.0;7.0;498151.19200000004;301.3448075482516
17934.0;7.0;498151.19200000004;301.29680375787086
17935.0;7.0;498151.19200000004;301.2487999674901
17936.0;7.0;498151.19200000004;301.2007961771094
17937.0;7.0;498151.19200000004;301.15279238672866
17938.0;7.0;498151.19200000004;301.1047885963479
17939.0;7.0;498151.19200000004;301.05678480596714
17940.0;7.0;498151.19200000004;301.0087810155864
17941.0;7.0;498151.19200000004;300.9607772252056
17942.0;7.0;498151.19200000004;300.91277343482494
17943.0;7.0;498151.19200000004;300.8647696444442
17944.0;7.0;498151.19200000004;300.8167658540635
17945.0;7.0;498151.19200000004;300.7687620636827
17946.0;7.0;498151.19200000004;300.72075827330195
17947.0;7.0;498151.19200000004;300.67275448292116
17948.0;7.0;498151.19200000004;300.6247506925405
17949.0;7.0;498151.19200000004;300.57674690215975
17950.0;7.0;498151.19200000004;300.528743111779
17951.0;7.0;498151.19200000004;300.4807393213983
17952.0;7.0;498151.19200000004;300.4327355310175
17953.0;7.0;498151.19200000004;300.38473174063677
17954.0;7.0;498151.19200000004;300.33672795025603
17955.0;7.0;498151.19200000004;300.2887241598753
17956.0;7.0;498151.19200000004;300.24072036949457
17957.0;7.0;498151.19200000004;300.19271657911383
17958.0;7.0;498151.19200000004;300.1447127887331
17959.0;7.0;498151.19200000004;300.0967089983523
17960.0;7.0;498151.19200000004;300.04870520797164
17961.0;7.0;498151.19200000004;300.0007014175909
17962.0;7.0;498151.19200000004;299.9526976272101
17963.0;7.0;498151.19200000004;299.9046938368294
17964.0;7.0;498151.19200000004;299.85669004644865
17965.0;7.0;498151.19200000004;299.80868625606786
17966.0;7.0;498151.19200000004;299.7606824656872
17967.0;7.0;498151.19200000004;299.71267867530645
17968.0;7.0;498151.19200000004;299.6646748849257
17969.0;7.0;498151.19200000004;299.6166710945449
17970.0;7.0;498151.19200000004;299.5686673041642
17971.0;7.0;498151.19200000004;299.5206635137834
17972.0;7.0;498151.19200000004;299.4726597234027
17973.0;7.0;498151.19200000004;299.424655933022
17974.0;7.0;498151.19200000004;299.37665214264126
17975.0;7.0;498151.19200000004;299.32864835226053
17976.0;7.0;498151.19200000004;299.28064456187974
17977.0;7.0;498151.19200000004;299.232640771499
17978.0;7.0;498151.19200000004;299.1846369811183
17979.0;7.0;498151.19200000004;299.13663319073754
17980.0;7.0;498151.19200000004;299.0886294003568
17981.0;7.0;498151.19200000004;299.0406256099761
17982.0;7.0;498151.19200000004;298.99262181959534
17983.0;7.0;498151.19200000004;298.94461802921455
17984.0;7.0;498151.19200000004;298.8966142388338
17985.0;7.0;498151.19200000004;298.8486104484531
17986.0;7.0;498151.19200000004;298.80060665807235
17987.0;7.0;498151.19200000004;298.7526028676916
17988.0;7.0;498151.19200000004;298.7045990773109
17989.0;7.0;498151.19200000004;298.6565952869301
